Mês;Identificação;Nome do Produto;Un;Quantidade;Custo Unitário;Custo Total;Valor Unitário;Valor Total;Margem
Janeiro;1467;GOLA AD. 50%ALG/50%POLI - AZUL MARINHO;PC;854;0,87;742,98;2,33;1.988,20;62,63
Janeiro;1476;GOLA AD. 50%ALG/50%POLI - AZUL MOTORISTA;PC;241;0,85;204,85;2,28;549,3;62,71
Janeiro;1002;GOLA AD. 50%ALG/50%POLI - AZUL ROYAL;PC;437;0,84;367,08;2,37;1.035,30;64,54
Janeiro;1527;GOLA AD. 50%ALG/50%POLI - BEGE;PC;8;0,74;5,92;2,5;20;70,4
Janeiro;996;GOLA AD. 50%ALG/50%POLI - BRANCO;PC;379;0,8185;310,24;2,33;884,9;64,94
Janeiro;1528;GOLA AD. 50%ALG/50%POLI - CINZA CHUMBO;PC;122;0,85;103,7;2,46;299,7;65,4
Janeiro;1524;GOLA AD. 50%ALG/50%POLI - CINZA PRATA;PC;30;1,08;32,4;2,33;70;53,71
Janeiro;1001;GOLA AD. 50%ALG/50%POLI - GRAFITE;PC;101;1,12;113,12;2,3;232,3;51,3
Janeiro;1471;GOLA AD. 50%ALG/50%POLI - PRETO;PC;680;1,1403;775,43;2,34;1.588,70;51,19
Janeiro;1525;GOLA AD. 50%ALG/50%POLI - VERDE AGUA;PC;3;0,72;2,16;2,5;7,5;71,2
Janeiro;1526;GOLA AD. 50%ALG/50%POLI - VERDE BANDEIRA;PC;141;0,86;121,26;2,42;341,3;64,47
Janeiro;1474;GOLA AD. 50%ALG/50%POLI - VERDE MUSGO;PC;396;0,89;352,44;2,34;926,3;61,95
Janeiro;1466;GOLA AD. 50%ALG/50%POLI - VERMELHO;PC;148;0,87;128,76;2,42;358,2;64,05
Janeiro;1603;GOLA AD. 50%ALG/50%POLI - VINHO;PC;111;0,92;102,12;2,31;256,6;60,2
Janeiro;1574;GOLA AD.65%POLI / 35%VISC - AM CANARIO;PC;94;0,88;82,72;2,43;228,7;63,83
Janeiro;1545;GOLA AD.65%POLI / 35%VISC - AZ MOTORISTA;PC;56;0,82;45,92;2,39;133,6;65,63
Janeiro;1559;GOLA AD.65%POLI / 35%VISC - AZUL BEBE;PC;60;0,84;50,4;2,35;141;64,26
Janeiro;1537;GOLA AD.65%POLI / 35%VISC - AZUL MARINHO;PC;631;0,9164;578,28;2,39;1.509,80;61,7
Janeiro;1536;GOLA AD.65%POLI / 35%VISC - AZUL ROYAL;PC;466;0,9115;424,78;2,32;1.081,90;60,74
Janeiro;1534;GOLA AD.65%POLI / 35%VISC - BRANCO;PC;139;0,84;116,76;2,39;332,1;64,84
Janeiro;1652;GOLA AD.65%POLI / 35%VISC - CAQUI;PC;45;0,83;37,35;2,4;108;65,42
