"data";"valor"
"01/01/2012";"47118"
"01/02/2012";"47431"
"01/03/2012";"47472"
"01/04/2012";"47523"
"01/05/2012";"47347"
"01/06/2012";"47168"
"01/07/2012";"47521"
"01/08/2012";"47312"
"01/09/2012";"47669"
"01/10/2012";"47403"
"01/11/2012";"47154"
"01/12/2012";"47703"
"01/01/2013";"47137"
"01/02/2013";"47802"
"01/03/2013";"48433"
"01/04/2013";"48442"
"01/05/2013";"48803"
"01/06/2013";"48726"
"01/07/2013";"48249"
"01/08/2013";"47872"
"01/09/2013";"48183"
"01/10/2013";"47984"
"01/11/2013";"48183"
"01/12/2013";"49303"
"01/01/2014";"48880"
"01/02/2014";"49258"
"01/03/2014";"49832"
"01/04/2014";"49751"
"01/05/2014";"49331"
"01/06/2014";"49127"
"01/07/2014";"48528"
"01/08/2014";"49022"
"01/09/2014";"49557"
"01/10/2014";"49370"
"01/11/2014";"49120"
"01/12/2014";"49687"
"01/01/2015";"49296"
"01/02/2015";"49757"
"01/03/2015";"50231"
"01/04/2015";"49579"
"01/05/2015";"50901"
"01/06/2015";"50616"
"01/07/2015";"50386"
"01/08/2015";"50786"
"01/09/2015";"50884"
"01/10/2015";"50129"
"01/11/2015";"50444"
"01/12/2015";"50834"
"01/01/2016";"50405"
"01/02/2016";"49758"
"01/03/2016";"48703"
"01/04/2016";"47538"
"01/05/2016";"46949"
"01/06/2016";"46629"
"01/07/2016";"47281"
"01/08/2016";"46874"
"01/09/2016";"46588"
"01/10/2016";"46179"
"01/11/2016";"46777"
"01/12/2016";"46297"
"01/01/2017";"45674"
"01/02/2017";"45799"
"01/03/2017";"45345"
"01/04/2017";"45027"
"01/05/2017";"44448"
"01/06/2017";"43720"
"01/07/2017";"42311"
"01/08/2017";"40929"
"01/09/2017";"40953"
"01/10/2017";"40699"
"01/11/2017";"41323"
"01/12/2017";"42555"
"01/01/2018";"41488"
"01/02/2018";"41342"
"01/03/2018";"41548"
"01/04/2018";"40683"
"01/05/2018";"40092"
"01/06/2018";"40915"
"01/07/2018";"40745"
"01/08/2018";"41130"
"01/09/2018";"40782"
"01/10/2018";"39408"
"01/11/2018";"41234"
"01/12/2018";"42318"
"01/01/2019";"40119"
"01/02/2019";"39520"
"01/03/2019";"40115"
"01/04/2019";"38974"
"01/05/2019";"39000"
"01/06/2019";"39674"
"01/07/2019";"38288"
"01/08/2019";"38533"
"01/09/2019";"38981"
"01/10/2019";"36162"
"01/11/2019";"36420"
"01/12/2019";"36651"
"01/01/2020";"34123"
"01/02/2020";"36098"
"01/03/2020";"39046"
"01/04/2020";"39966"
"01/05/2020";"39716"
"01/06/2020";"39112"
"01/07/2020";"39695"
"01/08/2020";"41183"
"01/09/2020";"42349"
"01/10/2020";"42392"
"01/11/2020";"42920"
"01/12/2020";"44367"
"01/01/2021";"43657"
"01/02/2021";"43878"
"01/03/2021";"44968"
"01/04/2021";"44586"
"01/05/2021";"45340"
"01/06/2021";"45842"
"01/07/2021";"46151"
"01/08/2021";"47215"
"01/09/2021";"49888"
"01/10/2021";"50196"
"01/11/2021";"51488"
"01/12/2021";"51409"
"01/01/2022";"50721"
"01/02/2022";"50352"
"01/03/2022";"52526"
"01/04/2022";"50162"
"01/05/2022";"49765"
"01/06/2022";"52161"
"01/07/2022";"50834"
"01/08/2022";"51901"
"01/09/2022";"53388"
"01/10/2022";"51350"
"01/11/2022";"51115"
"01/12/2022";"54609"
"01/01/2023";"51961"
"01/02/2023";"51461"
"01/03/2023";"50827"
"01/04/2023";"48964"
"01/05/2023";"49265"
"01/06/2023";"50688"
"01/07/2023";"48088"
"01/08/2023";"48933"
"01/09/2023";"50006"
"01/10/2023";"49429"
"01/11/2023";"50931"
"01/12/2023";"54287"
"01/01/2024";"51028"
"01/02/2024";"50883"
"01/03/2024";"52751"
